Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
11.169,-0.128506321,-0.480837603,-2.333333022,-0.717096741,-1.297105724,-1.565560389,-3.110138018,2.5,1
11.27,-0.12824751,-0.480911596,-2.334268853,-0.717170353,-1.294628323,-1.56804539,-3.109003678,2.5,1
11.371,-0.128087311,-0.482515091,-2.33397303,-0.717170353,-1.297105724,-1.568564675,-3.108954277,2.5,1
11.472,-0.128001041,-0.481269326,-2.333136276,-0.717195203,-1.299435758,-1.567860032,-3.110089088,2.5,1
11.573,-0.128173581,-0.48187374,-2.333136276,-0.717145972,-1.29663953,-1.56637646,-3.110828691,2.5,1
11.675,-0.128383028,-0.481306264,-2.334564205,-0.717145972,-1.295560477,-1.564670034,-3.110828691,2.5,1
11.775,-0.128518662,-0.482749539,-2.334711647,-0.717145972,-1.297277418,-1.564966819,-3.109447346,2.5,1
11.875,-0.128567909,-0.480714203,-2.33397303,-0.717219584,-1.299730258,-1.566265033,-3.109398415,2.5,1
11.978,-0.128284416,-0.481108871,-2.333333022,-0.717318046,-1.295143405,-1.567748605,-3.109990286,2.5,1
12.079,-0.12816124,-0.482589084,-2.334120942,-0.717318046,-1.296516958,-1.568453602,-3.109940885,2.5,1
12.18,-0.12816124,-0.481639291,-2.334465598,-0.717293196,-1.29776794,-1.567526104,-3.109743752,2.5,1
12.281,-0.128432392,-0.48228076,-2.334416294,-0.717318046,-1.29938687,-1.566190748,-3.10964495,2.5,1
12.382,-0.12865418,-0.481404961,-2.333874893,-0.717293196,-1.294603762,-1.564966819,-3.110138018,2.5,1
12.482,-0.128691203,-0.482885173,-2.333874893,-0.717367277,-1.297252857,-1.565968247,-3.110927493,2.5,1
12.583,-0.128567909,-0.481158278,-2.33436699,-0.71746527,-1.298332144,-1.567415031,-3.110434424,2.5,1
12.685,-0.128284416,-0.481343319,-2.33476095,-0.717539351,-1.296713214,-1.568453602,-3.109595549,2.5,1
12.786,-0.128259852,-0.48286047,-2.334268853,-0.717514501,-1.294628323,-1.568527533,-3.110187419,2.5,1
12.886,-0.128370687,-0.48170105,-2.333776285,-0.717539351,-1.29776794,-1.567043961,-3.110878092,2.5,1
12.988,-0.129011602,-0.482786477,-2.333776285,-0.717588582,-1.298969798,-1.565708605,-3.111174028,2.5,1
13.088,-0.129479859,-0.482256056,-2.336976799,-0.718178416,-1.297817062,-1.566784318,-3.111963503,2.5,1
13.188,-0.130009822,-0.484735468,-2.33776425,-0.718915943,-1.296909469,-1.568527533,-3.112950111,2.5,1
13.289,-0.130428949,-0.483181263,-2.339783353,-0.72007123,-1.301888599,-1.572236817,-3.116551678,2.5,1
13.392,-0.130256409,-0.482034077,-2.333480933,-0.715449614,-1.294800017,-1.566969676,-3.109990286,2.5,1
13.493,-0.130342679,-0.482589084,-2.324765918,-0.713975029,-1.291145318,-1.558253249,-3.096620497,2.5,1
13.592,-0.131525781,-0.482206767,-2.323387292,-0.714195865,-1.28987001,-1.556101822,-3.09356187,2.5,1
13.694,-0.131895544,-0.482774125,-2.322648676,-0.713606031,-1.292003789,-1.553913252,-3.094499548,2.5,1
13.796,-0.131735227,-0.481590002,-2.324765918,-0.714367939,-1.292052911,-1.55628718,-3.097015234,2.5,1
