Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
11.678,-0.250480726,-0.92671146,-4.40027067,-1.364945896,-2.456377206,-2.929710847,-5.740280979,5,1
11.779,-0.250714854,-0.924947627,-4.40046765,-1.364921281,-2.453115017,-2.927077276,-5.740478348,5,1
11.879,-0.251207794,-0.927217177,-4.399926013,-1.364945896,-2.45640165,-2.927336919,-5.740922251,5,1
11.982,-0.250456043,-0.926773219,-4.399433681,-1.364970278,-2.458388413,-2.928820845,-5.741169021,5,1
12.082,-0.250801125,-0.925662971,-4.400024386,-1.36511797,-2.454316876,-2.931268703,-5.741316989,5,1
12.183,-0.251146206,-0.92618104,-4.400221366,-1.365191582,-2.456328083,-2.931046203,-5.740971652,5,1
12.284,-0.250813466,-0.92642784,-4.400418346,-1.365191582,-2.458020581,-2.929859416,-5.740823685,5,1
12.385,-0.251306405,-0.927180239,-4.400763002,-1.365314426,-2.453605539,-2.928338702,-5.740527514,5,1
12.485,-0.251195452,-0.925206662,-4.400418346,-1.365363656,-2.456941294,-2.927670847,-5.740823685,5,1
12.587,-0.250640925,-0.927525618,-4.399827406,-1.365314426,-2.45885449,-2.928969061,-5.740922251,5,1
12.688,-0.251306405,-0.926945909,-4.39987671,-1.365363656,-2.45495453,-2.930675487,-5.741316989,5,1
12.788,-0.251047594,-0.926230447,-4.400369042,-1.365486499,-2.457431932,-2.93093513,-5.741267588,5,1
12.891,-0.250788783,-0.926736164,-4.400566022,-1.36553573,-2.458118708,-2.929747989,-5.741021053,5,1
12.992,-0.251232476,-0.926921205,-4.401058355,-1.36553573,-2.456524339,-2.928338702,-5.740675717,5,1
13.093,-0.25075176,-0.927661253,-4.401304638,-1.365683189,-2.457603626,-2.927374062,-5.740478348,5,1
13.193,-0.250875054,-0.92547793,-4.400369042,-1.36573242,-2.459197878,-2.929377273,-5.740724883,5,1
13.294,-0.251725415,-0.927895701,-4.40027067,-1.365806266,-2.454979092,-2.931083345,-5.74111962,5,1
13.397,-0.252378672,-0.929844575,-4.403963516,-1.367403929,-2.458020581,-2.933976558,-5.745115689,5,1
13.498,-0.252501848,-0.929449907,-4.411004319,-1.368829752,-2.464397824,-2.935645842,-5.751677082,5,1
13.599,-0.252797682,-0.929955623,-4.411792004,-1.368657678,-2.462877021,-2.934273343,-5.753157229,5,1
13.701,-0.253549432,-0.93099176,-4.412185964,-1.369198515,-2.461822412,-2.933494415,-5.752861059,5,1
13.803,-0.253758996,-0.931719456,-4.41193968,-1.369345973,-2.466163771,-2.935052272,-5.75266369,5,1
13.903,-0.254067054,-0.929474492,-4.411398279,-1.369493432,-2.46214124,-2.936721202,-5.75266369,5,1
14.004,-0.253475503,-0.931509829,-4.411348975,-1.369444435,-2.462901583,-2.937240487,-5.752959861,5,1
14.105,-0.254140983,-0.931312436,-4.411201299,-1.369665506,-2.466090204,-2.936572986,-5.753255796,5,1
14.205,-0.254079395,-0.930905416,-4.411151995,-1.369812964,-2.463146843,-2.934310486,-5.75291046,5,1
14.305,-0.253672726,-0.930831423,-4.41213666,-1.369616509,-2.463392104,-2.933309057,-5.752318354,5,1
14.407,-0.254091736,-0.93174416,-4.412038288,-1.369788583,-2.465599683,-2.9335687,-5.752071819,5,1
