Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],weight,model
8.971,-0.234015328,-0.827457809,-4.499975418,-1.295267891,-2.387944582,-2.981917441,-4.864553424,5,2
9.071,-0.233238896,-0.826298271,-4.50007379,-1.295341737,-2.388312532,-2.979283871,-4.864751028,5,2
9.171,-0.234224775,-0.828111511,-4.499926114,-1.295341737,-2.388067154,-2.978764585,-4.864701627,5,2
9.273,-0.233152626,-0.826150286,-4.500172398,-1.295366353,-2.385540865,-2.979506725,-4.864652226,5,2
9.374,-0.233226555,-0.827334409,-4.49987681,-1.29546458,-2.388018149,-2.980767796,-4.86430689,5,2
9.475,-0.234187869,-0.82636003,-4.499729134,-1.295390968,-2.385320048,-2.982844939,-4.864454622,5,2
9.576,-0.233386754,-0.827975877,-4.499581458,-1.295390968,-2.388606798,-2.982548153,-4.864553424,5,2
9.677,-0.233399095,-0.827766132,-4.499433781,-1.295390968,-2.388116277,-2.981361013,-4.866132374,5,2
9.778,-0.234076916,-0.826915037,-4.499680065,-1.295415349,-2.388704925,-2.979247082,-4.867612051,5,2
9.879,-0.233374413,-0.826631416,-4.499384478,-1.295415349,-2.388214404,-2.979247082,-4.867907987,5,2
9.98,-0.234150845,-0.82804987,-4.499680065,-1.295415349,-2.384927655,-2.980619227,-4.867859056,5,2
10.081,-0.234039893,-0.827840243,-4.499532154,-1.295390968,-2.388312532,-2.982548153,-4.868253323,5,2
10.182,-0.233571636,-0.826754699,-4.499778438,-1.295390968,-2.384706838,-2.983364224,-4.868450927,5,2
10.283,-0.233818105,-0.826952092,-4.499827741,-1.29546458,-2.388704925,-2.982214226,-4.868500328,5,2
10.384,-0.233670247,-0.826273686,-4.499827741,-1.295538427,-2.388484226,-2.980767796,-4.868500328,5,2
10.485,-0.233855129,-0.828432305,-4.50027077,-1.295710501,-2.388852058,-2.979395298,-4.868500328,5,2
10.586,-0.233645565,-0.826754699,-4.500172398,-1.295833344,-2.388901181,-2.980545296,-4.86805619,5,2
10.687,-0.234150845,-0.827494864,-4.50046775,-1.295759497,-2.384878532,-2.982028868,-4.867907987,5,2
10.788,-0.235876251,-0.829147766,-4.506523887,-1.298586528,-2.394665214,-2.986591011,-4.867907987,5,2
10.889,-0.236221332,-0.832095722,-4.513023053,-1.299373051,-2.392212374,-2.98840851,-4.86805619,5,2
10.99,-0.236800541,-0.830368827,-4.513269337,-1.29934867,-2.396455722,-2.986962081,-4.868154992,5,2
11.091,-0.236985423,-0.83139273,-4.513269337,-1.299397666,-2.396823672,-2.985663867,-4.86805619,5,2
11.192,-0.236073474,-0.830430586,-4.513466317,-1.299692818,-2.396333033,-2.986220295,-4.867907987,5,2
11.294,-0.237293598,-0.832564501,-4.513220033,-1.299520744,-2.396872677,-2.987481366,-4.867464319,5,2
11.394,-0.236332284,-0.830479875,-4.513417013,-1.299471513,-2.392850146,-2.989039223,-4.867661452,5,2
11.495,-0.236652683,-0.83150366,-4.513515621,-1.299840276,-2.396921799,-2.989447081,-4.867612051,5,2
11.596,-0.237342845,-0.831170633,-4.513810973,-1.299840276,-2.393193534,-2.987703867,-4.867907987,5,2
11.696,-0.236615777,-0.83237946,-4.513466317,-1.299717199,-2.396284028,-2.986183152,-4.868006789,5,2
11.798,-0.236566413,-0.83250286,-4.513466317,-1.299741814,-2.396872677,-2.985738152,-4.867809655,5,2
